GlobalId,Latitud,Longitud,color
6,-33.8080916,-62.16361537,red
7,-33.81367146,-62.16477323,green
9,-33.77862775,-62.09720026,blue
14,-33.78927132,-62.13119516,gold
15,-33.79708474,-62.14022651,red
23,-33.84464269,-62.20742896,red
25,-33.81601874,-62.17222988,red
26,-33.81297881,-62.17375826,red
27,-33.81782726,-62.17422141,green
28,-33.81444107,-62.17727817,green
57,-33.87075753,-62.14647898,green
61,-33.87617949,-62.14184752,green
62,-33.87517972,-62.14578426,green
64,-33.87825589,-62.1478221,green
94,-33.86387383,-62.21400563,green
104,-33.87467983,-62.15337985,red
105,-33.86337388,-62.19015362,blue
109,-33.86664276,-62.17741711,red
110,-33.87025761,-62.17954759,red
112,-33.87152662,-62.17255408,gold
113,-33.89413487,-62.07075464,red
115,-33.89021346,-62.0734872,red
120,-33.8826777,-62.07154199,red
123,-33.90755088,-62.05899073,red
143,-33.87275716,-62.08474164,red
165,-33.91673713,-62.05829602,red
175,-33.92346284,-62.07181987,red
177,-33.64507642,-61.99635027,green
179,-33.64260879,-61.99991649,green
181,-33.63802035,-62.00283431,green
183,-33.63416432,-62.00487215,green
187,-33.65698947,-61.98731892,green
188,-33.65529322,-61.98213169,green
189,-33.65444508,-61.98977359,green
191,-33.65028136,-61.99283036,green
197,-33.60419713,-62.02015596,green
198,-33.60311704,-62.01469084,green
199,-33.6016126,-62.02177697,green
201,-33.63019244,-62.00755839,green
202,-33.62795576,-62.00260273,green
203,-33.62722304,-62.00945729,red
205,-33.62429211,-62.01205091,red
213,-33.81195906,-62.02617685,red
214,-33.8158071,-62.02578318,red
215,-33.80997725,-62.02177697,red
221,-33.82377201,-62.05051517,red
222,-33.82640757,-62.0493573,red
226,-33.78957925,-62.01084673,red
235,-33.80266532,-62.00751208,red
236,-33.80605197,-62.00776681,red
237,-33.8013568,-62.00734998,red
238,-33.79937474,-62.0037606,red
239,-33.79787374,-62.01100883,red
251,-33.56048113,-61.98060331,red
256,-33.57387223,-61.9777318,red
258,-33.54613259,-61.97932966,red
271,-33.54464646,-61.98460952,red
274,-33.57807823,-62.03085463,red
276,-33.5736407,-62.03460611,green
278,-33.57259881,-62.03233669,green
285,-33.58857304,-62.03187355,green
286,-33.58375021,-62.02543582,green
287,-33.58351871,-62.03493031,green
292,-33.55256898,-61.99093146,green
297,-33.56202488,-62.02140645,green
298,-33.56650159,-62.01733077,green
301,-33.55708478,-62.01177302,green
310,-33.55740319,-61.92921728,green
327,-33.67041377,-61.89732969,green
328,-33.66632792,-61.90013173,green
330,-33.67012468,-61.90501791,green
333,-33.62553584,-61.86988831,red
345,-33.87473751,-61.8063447,red
346,-33.87262257,-61.81083722,red
347,-33.83958418,-61.72209848,red
360,-33.83812235,-61.74984091,red
362,-33.84019968,-61.73974434,red
375,-33.79716171,-61.93734549,red
386,-33.83489085,-61.78397476,red
391,-33.81992432,-61.82718626,red
394,-33.82623444,-61.81653391,red
416,-33.74451323,-61.64132585,red
417,-33.73785046,-61.64039956,red
430,-33.82354115,-61.71589233,red
442,-33.83115908,-61.71028826,green
463,-33.64451736,-61.40903508,green
468,-33.68479944,-61.54976193,green
469,-33.67720704,-61.54647359,green
472,-33.68025179,-61.53646965,green
473,-33.67123285,-61.52113952,green
495,-33.70341148,-61.60362579,green
500,-33.73981469,-61.63368395,green
511,-33.68298812,-61.56675938,green
513,-33.68071427,-61.56055323,green
514,-33.68676488,-61.55647754,green
516,-33.70194733,-61.59116716,green
519,-33.69354722,-61.58602625,green
520,-33.69636019,-61.58371052,green
536,-33.61391736,-61.32478886,red
542,-33.87865963,-61.81593182,red
543,-33.88577283,-61.81370872,red
544,-33.88235088,-61.8200075,red
546,-33.88596507,-61.8225548,red
22,-33.65437522,-61.83175957,red
44,-33.69796023,-62.06450517,red
52,-33.66166125,-61.87619841,red
99,-33.67609656,-61.80915806,red
192,-33.83252096,-62.05789087,red
193,-33.82521096,-62.05557514,red
194,-33.82786572,-62.05242575,red
196,-33.82694233,-62.04774798,red
197,-33.82182506,-62.04478385,green
199,-33.84944699,-62.07729668,green
201,-33.84602359,-62.07488832,green
205,-33.83729136,-62.06659801,green
211,-33.79334743,-61.98920635,green
214,-33.7926931,-61.9811013,green
217,-33.81728467,-62.03556724,green
221,-33.81432174,-62.02954635,green
222,-33.81609181,-62.02611907,green
223,-33.90174262,-62.12067028,green
230,-33.92126835,-62.11571462,green
243,-33.86198548,-62.08313232,red
246,-33.85656262,-62.07813034,red
249,-33.9319518,-62.1003845,red
258,-33.78676544,-61.97017106,green
287,-33.85122746,-61.66136824,green
316,-33.8248758,-61.82603972,green
323,-33.81263971,-61.87367427,green
365,-33.81285136,-61.42169029,green
393,-33.78244603,-61.35953612,green
18,-33.51754052,-61.4450236,green
20,-33.52742031,-61.46576268,green
39,-33.47306675,-61.53600654,red
42,-33.47986872,-61.54067338,green
64,-33.55123355,-61.6812144,green
85,-33.59691756,-61.76424869,green
121,-33.67271753,-61.89674946,green
123,-33.67750441,-61.90758601,green
142,-33.75970593,-62.06026753,green
147,-33.79296863,-62.11445388,green
149,-33.7926506,-62.12622332,green
181,-33.92164713,-62.24345033,green
260,-34.24424897,-62.65179934,green
277,-34.31000053,-62.78814287,green
285,-34.33977763,-62.83022273,green
296,-34.34504743,-62.08221043,green
307,-34.30641371,-62.04108529,green
324,-34.19642886,-62.02013157,red
325,-34.18684085,-62.01496956,red
326,-34.17974286,-62.01535328,red
330,-34.14147557,-62.01329429,green
332,-34.12905886,-62.00583314,green
333,-34.12641914,-62.01168986,green
335,-34.105889,-62.00293114,green
337,-34.09858157,-61.99683643,green
339,-34.08969999,-61.989205,green
340,-34.08614514,-61.98697343,green
341,-34.087375,-61.97740428,green
343,-34.08478343,-61.97445357,green
344,-34.07654985,-61.97430643,green
345,-34.06859185,-61.96635643,green
347,-34.05437285,-61.95283714,red
349,-34.04529671,-61.94447472,red
352,-34.037686,-61.92764642,red
358,-34.00403562,-61.92167774,red
359,-33.99922201,-61.91259012,red
361,-33.99324724,-61.8919845,red
362,-33.9891607,-61.89630945,red
367,-33.96992582,-61.87817872,green
369,-33.9468027,-61.87061717,green
372,-33.92951982,-61.84774858,green
395,-33.80783239,-61.75081903,green
436,-33.70258028,-61.61740956,green
459,-33.6606047,-61.45816797,green
460,-34.32333662,-62.03873849,green
462,-34.01075681,-61.90679494,green
469,-34.32221908,-62.2452153,red
470,-33.94774787,-61.48081739,red
471,-33.70638985,-61.47067889,red
473,-33.52741919,-61.78087635,red
